,,0.01,0.02,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,
allCountries,ofb,00.004864,00.005990,00.008521,00.011595,00.014176,00.016900,00.019087,00.021712,00.023687,00.025863,00.026736,00.029356,00.030854,00.033594,00.033906,00.036913,00.038576,
allCountries,qsi_000004,00.083279,00.116806,00.108560,00.153787,00.211521,00.286529,00.294768,00.271949,00.347747,00.342317,00.397330,00.417546,00.407135,00.407250,00.383865,00.377265,00.430642,
allCountries,qsi_000008,00.083745,00.115760,00.108892,00.156595,00.212357,00.287270,00.295530,00.276738,00.351746,00.345582,00.400032,00.417187,00.410418,00.408856,00.385822,00.381994,00.432306,
allCountries,qsi_000016,00.087918,00.121213,00.115229,00.161963,00.220460,00.295752,00.306634,00.286583,00.362290,00.359368,00.414114,00.433379,00.422505,00.425328,00.402384,00.398227,00.449369,
allCountries,qsi_000032,00.095523,00.127293,00.123897,00.175178,00.238229,00.315354,00.330489,00.306162,00.382912,00.387229,00.432426,00.484603,00.467236,00.469259,00.461876,00.425189,00.476246,
allCountries,qsi_000064,00.106830,00.140890,00.142907,00.197280,00.266203,00.344506,00.366261,00.340795,00.418733,00.428205,00.473386,00.528345,00.511685,00.517203,00.509083,00.475194,00.532134,
allCountries,qsi_000096,00.107480,00.133102,00.164210,00.197737,00.291439,00.327942,00.355763,00.345465,00.409360,00.446132,00.430747,00.546362,00.545510,00.523716,00.511544,00.473856,00.511901,
allCountries,qsi_000128,00.129529,00.164754,00.175324,00.240432,00.313977,00.406388,00.426386,00.409563,00.493397,00.505069,00.556005,00.626446,00.596646,00.609500,00.602777,00.573934,00.635046,
allCountries,qsi_000256,00.169415,00.210032,00.292281,00.314761,00.465729,00.597548,00.571084,00.573202,00.710761,00.792484,00.753566,00.883855,00.946421,00.870392,00.852304,00.822390,00.853457,
allCountries,qsi_000512,00.242239,00.293096,00.420264,00.459270,00.647587,00.809668,00.789545,00.820847,00.974253,01.061773,01.104288,01.208333,01.263645,01.209749,01.296904,01.184768,01.214525,
allCountries,qsi_001024,00.369902,00.447792,00.662887,00.745915,00.971370,01.193532,01.250124,01.293403,01.449808,01.574268,01.827072,01.851579,01.846477,01.907697,01.931597,01.958680,01.910177,
allCountries,qsi_002048,00.579103,00.704280,01.029533,01.283163,01.549835,01.859543,02.044577,02.157627,02.308584,02.478781,02.807559,02.947557,02.960347,03.046187,03.047788,03.356589,03.215112,
allCountries,sdsl_k2,00.014153,00.024314,00.055612,00.106903,00.156608,00.211401,00.256513,00.306294,00.369916,00.406347,00.443285,00.518598,00.537625,00.622317,00.639975,00.710303,00.764740,
